# This file is generated by MACS
# ARGUMENTS LIST:
# name = s96a
# format = ELAND
# ChIP-seq file = S96ChIPu_eland_result_unique.txt
# control file = S96inputu_eland_result_unique.txt
# effective genome size = 1.20e+07
# tag size = 24
# band width = 15
# model fold = 4
# pvalue cutoff = 1.00e-05
# Ranges for calculating regional lambda are : peak_region,250,500,2500
# unique tags in treatment: 2288896
# total tags in treatment: 2347114
# unique tags in control: 1111480
# total tags in control: 1111480
# d = 23
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr13.fs	488675	488819	145	41	64	68.17	3.65	2.45
chr13.fs	496966	497188	223	181	106	71.31	2.92	2.50
chr13.fs	510841	511685	845	122	531	190.83	2.22	1.87
chr13.fs	540323	540818	496	130	344	505.42	4.16	1.38
chr13.fs	572937	573027	91	47	44	74.05	4.03	2.47
chr13.fs	586522	586648	127	64	68	86.18	3.58	2.35
chr13.fs	589516	590405	890	275	773	2038.38	7.65	0.00
chr13.fs	611871	612141	271	92	163	348.03	4.79	1.65
chr13.fs	625618	626279	662	220	541	1442.33	6.96	0.00
chr13.fs	626298	626461	164	55	71	60.90	2.64	2.37
chr13.fs	626898	627014	117	57	57	84.60	3.38	2.45
chr13.fs	628038	628554	517	263	455	819.16	4.99	0.51
chr13.fs	632245	632332	88	35	38	55.96	3.42	2.33
chr13.fs	634188	634309	122	87	54	66.24	3.43	2.50
chr13.fs	652556	652815	260	126	180	337.92	6.01	1.60
chr13.fs	659266	660462	1197	423	1257	2896.61	5.85	0.00
chr13.fs	660486	662281	1796	1138	1226	341.51	2.41	1.63
chr13.fs	701464	702021	558	332	480	1035.61	5.94	0.66
chr13.fs	732150	732401	252	144	150	311.89	5.24	1.48
chr13.fs	735955	737807	1853	746	1950	3100.00	7.69	0.00
chr13.fs	738106	738906	801	334	467	212.02	2.76	2.00
chr13.fs	738913	739164	252	96	145	242.90	4.91	1.95
chr13.fs	747727	747907	181	156	107	218.44	5.01	1.81
chr13.fs	747937	748431	495	253	431	1396.46	6.84	0.00
chr13.fs	751066	751241	176	66	84	58.42	2.72	2.30
chr13.fs	751331	751597	267	49	124	125.90	3.16	2.35
chr13.fs	758764	759276	513	242	402	294.96	3.42	1.43
chr13.fs	768274	768380	107	66	52	53.01	3.13	2.35
chr13.fs	774334	774540	207	69	111	87.22	2.87	2.36
chr13.fs	791845	791949	105	66	44	53.42	3.23	2.37
chr13.fs	798069	798209	141	119	57	53.18	3.03	2.36
chr13.fs	808206	808395	190	154	91	74.65	2.89	2.48
chr13.fs	837835	837944	110	74	57	59.35	3.48	2.33
chr13.fs	858688	859092	405	203	335	552.75	4.99	1.10
chr13.fs	872657	872936	280	96	173	165.63	3.42	1.91
chr13.fs	879063	881108	2046	1439	2073	3100.00	6.19	0.00
chr14.fs	63825	63967	143	84	84	84.84	3.32	2.46
chr14.fs	64835	65209	375	216	278	749.87	8.09	0.94
chr14.fs	68428	68951	524	178	327	547.86	4.20	1.09
chr14.fs	87417	87676	260	134	151	188.66	4.31	1.86
chr14.fs	89002	89726	725	209	502	656.77	3.92	1.23
chr14.fs	96133	96259	127	75	82	91.44	3.53	2.20
chr14.fs	96284	96490	207	44	128	75.34	3.48	2.50
chr14.fs	102497	102741	245	194	328	1244.85	7.41	0.82
chr14.fs	102782	102940	159	36	107	265.60	4.79	1.58
chr14.fs	103590	103795	206	32	101	68.35	2.68	2.45
chr14.fs	104651	104828	178	125	128	233.07	4.92	1.90
chr14.fs	104854	105034	181	29	125	209.36	4.75	1.99
chr14.fs	106959	107677	719	281	691	1687.36	6.66	0.00
chr14.fs	107840	108129	290	125	143	58.10	2.44	2.29
chr14.fs	110366	113140	2775	417	3088	3100.00	5.10	0.00
chr14.fs	128872	129425	554	321	607	2036.66	7.54	0.00
chr14.fs	173878	174164	287	112	143	91.27	2.79	2.19
chr14.fs	174292	174570	279	133	133	72.93	2.79	2.56
chr14.fs	201364	202044	681	359	679	1646.11	5.90	0.00
chr14.fs	227916	228198	283	184	168	270.92	4.82	1.59
chr14.fs	229850	230006	157	48	76	63.17	2.97	2.43
chr14.fs	230229	230367	139	41	66	88.24	3.93	2.27
chr14.fs	241326	241887	562	247	519	1164.74	6.64	0.75
chr14.fs	253609	253748	140	102	67	107.29	3.64	2.25
chr14.fs	253876	255032	1157	244	948	1532.55	5.78	0.00
chr14.fs	275753	276543	791	420	820	2393.47	7.34	0.00
chr14.fs	276652	277370	719	481	430	299.26	3.11	1.44
chr14.fs	278210	278456	247	44	116	70.67	2.56	2.48
chr14.fs	301576	302260	685	292	746	1946.53	6.18	0.00
chr14.fs	302737	303134	398	258	228	85.22	2.29	2.46
chr14.fs	317831	318145	315	92	167	99.80	2.57	2.17
chr14.fs	351837	352848	1012	327	1082	3100.00	7.99	0.00
chr14.fs	360073	360577	505	81	335	294.65	3.03	1.43
chr14.fs	360872	361289	418	207	306	499.83	4.48	1.37
chr14.fs	392388	392610	223	163	115	97.62	3.36	2.16
chr14.fs	424313	424893	581	337	579	1499.64	6.21	0.00
chr14.fs	424936	425209	274	122	159	119.90	3.19	2.41
chr14.fs	426849	427401	553	302	453	955.48	5.60	0.61
chr14.fs	440857	441033	177	81	95	77.18	2.84	2.47
chr14.fs	442549	443015	467	446	355	653.92	4.68	1.22
chr14.fs	448354	448567	214	52	102	91.54	2.89	2.20
chr14.fs	448577	448825	249	64	135	209.34	4.35	1.98
chr14.fs	499575	499782	208	160	102	89.39	2.80	2.17
chr14.fs	500034	500221	188	72	101	96.56	3.41	2.26
chr14.fs	500228	500398	171	105	92	95.54	3.35	2.24
chr14.fs	500498	500736	239	174	139	177.98	4.00	1.95
chr14.fs	525150	525677	528	256	466	1242.83	7.16	0.81
chr14.fs	529215	530214	1000	401	919	2015.73	6.14	0.00
chr14.fs	546023	546765	743	461	949	2834.34	6.22	0.00
chr14.fs	547051	547113	63	34	52	98.37	5.32	2.17
chr14.fs	547172	547527	356	156	232	386.72	4.43	1.73
chr14.fs	560741	560931	191	49	102	61.27	2.50	2.38
chr14.fs	568019	568130	112	55	62	75.92	3.04	2.41
chr14.fs	568196	568295	100	33	50	63.15	3.84	2.42
chr14.fs	568316	568401	86	30	39	62.20	4.33	2.40
chr14.fs	572970	573023	54	30	32	78.34	5.24	2.48
chr14.fs	582036	582313	278	64	159	220.45	3.67	1.83
chr14.fs	585097	585340	244	78	125	75.06	3.09	2.49
chr14.fs	586149	586346	198	56	102	100.67	4.18	2.19
chr14.fs	602195	602336	142	28	87	88.02	2.86	2.38
chr14.fs	631757	631868	112	75	63	91.32	4.00	2.19
chr14.fs	631893	632065	173	46	86	110.97	4.55	2.32
chr14.fs	640878	641300	423	220	299	413.67	4.22	1.81
chr14.fs	657772	658065	294	164	187	338.71	5.28	1.61
chr14.fs	702565	704329	1765	949	2014	3150.50	4.38	0.00
chr14.fs	704359	706183	1825	633	1872	245.44	1.90	1.96
chr14.fs	725898	726147	250	223	241	878.21	7.07	0.56
chr14.fs	726191	726299	109	38	143	590.51	8.25	1.14
chr14.fs	726399	726451	53	30	40	119.91	7.29	2.42
chr14.fs	726548	726666	119	62	105	248.70	5.02	1.75
chr14.fs	726922	727152	231	54	146	118.00	3.56	2.38
chr14.fs	736722	737160	439	199	328	496.12	4.98	1.36
chr14.fs	738229	738778	550	225	400	1040.25	5.84	0.66
chr14.fs	739471	739637	167	123	86	144.01	3.82	2.07
chr14.fs	766877	766980	104	58	44	59.01	3.82	2.33
chr14.fs	772011	772280	270	86	159	220.45	3.92	1.83
chr15.fs	3543	3797	255	182	162	367.68	6.38	1.69
chr15.fs	8628	8825	198	90	99	50.99	2.65	2.39
chr15.fs	17637	18089	453	244	322	820.21	5.70	0.52
chr15.fs	26731	26780	50	24	31	73.26	5.07	2.56
chr15.fs	26798	26853	56	28	35	69.85	5.52	2.47
chr15.fs	27466	27540	75	39	51	138.98	5.93	2.18
chr15.fs	27999	28055	57	29	40	116.28	7.07	2.38
chr15.fs	29298	29997	700	58	514	313.14	2.60	1.48
chr15.fs	30016	30963	948	577	643	375.84	2.81	1.71
chr15.fs	31090	31566	477	87	271	130.72	3.23	2.24
chr15.fs	40417	40593	177	65	85	96.98	3.52	2.27
chr15.fs	69214	69582	369	150	195	121.86	3.57	2.44
chr15.fs	80776	81064	289	140	155	83.87	2.57	2.44
chr15.fs	90890	91112	223	154	119	72.01	2.91	2.52
chr15.fs	100462	100704	243	138	167	120.75	2.87	2.43
chr15.fs	109395	110093	699	493	519	468.28	3.45	1.31
chr15.fs	110117	110610	494	189	444	998.27	6.15	0.64
chr15.fs	110829	110982	154	125	87	144.47	4.08	2.08
chr15.fs	111009	111127	119	30	63	56.75	2.98	2.35
chr15.fs	113722	113827	106	43	44	56.44	3.80	2.34
chr15.fs	155466	155598	133	47	53	69.77	3.42	2.46
chr15.fs	155601	155711	111	63	55	96.05	5.01	2.25
chr15.fs	159198	160192	995	72	856	908.08	3.65	0.57
chr15.fs	160375	162076	1702	913	1580	2833.35	5.04	0.00
chr15.fs	167846	168351	506	179	485	1628.50	7.91	0.00
chr15.fs	203235	203588	354	189	253	257.36	3.35	1.77
chr15.fs	216336	216682	347	157	198	72.19	2.52	2.53
chr15.fs	226448	226636	189	79	143	301.88	4.47	1.45
chr15.fs	226653	226975	323	40	329	870.99	6.17	0.55
chr15.fs	227080	227174	95	47	41	59.41	4.10	2.33
chr15.fs	228238	228350	113	85	66	140.35	5.81	2.20
chr15.fs	232128	232345	218	72	103	101.13	3.28	2.19
chr15.fs	253772	254351	580	244	463	980.12	5.98	0.62
chr15.fs	274208	274495	288	196	169	142.97	2.85	2.22
chr15.fs	274500	274664	165	72	93	78.69	3.08	2.49
chr15.fs	282069	282183	115	59	61	111.27	4.19	2.32
chr15.fs	288100	288220	121	58	71	129.23	4.84	2.24
chr15.fs	288269	288750	482	76	552	1654.06	6.46	0.00
chr15.fs	300922	301121	200	157	113	62.07	2.56	2.40
chr15.fs	301186	301320	135	104	72	109.83	3.46	2.29
chr15.fs	304888	305094	207	52	102	81.93	3.13	2.41
chr15.fs	312605	312939	335	142	209	463.45	5.01	1.29
chr15.fs	324651	324876	226	50	100	160.95	3.88	1.89
chr15.fs	340217	340309	93	57	44	67.97	3.48	2.44
chr15.fs	340352	340429	78	26	39	62.91	4.33	2.42
chr15.fs	353912	354060	149	114	90	200.34	4.79	1.93
chr15.fs	354089	354361	273	37	216	418.45	5.93	1.84
chr15.fs	363328	363460	133	54	62	92.28	3.88	2.20
chr15.fs	414103	414324	222	96	119	204.62	4.56	1.95
chr15.fs	424306	424604	299	216	178	192.93	3.47	1.89
chr15.fs	426842	427016	175	49	75	70.03	3.09	2.47
chr15.fs	449006	449287	282	216	165	328.73	5.24	1.57
chr15.fs	464357	464475	119	72	68	75.40	3.45	2.51
chr15.fs	472304	472668	365	209	211	181.31	2.97	1.99
chr15.fs	479251	479791	541	197	284	268.95	3.71	1.59
chr15.fs	487341	487465	125	93	95	184.14	5.61	2.00
chr15.fs	487503	487631	129	75	67	79.01	3.27	2.51
chr15.fs	502071	502696	626	268	493	1390.04	8.14	0.00
chr15.fs	504240	504957	718	435	668	1996.12	7.77	0.00
chr15.fs	515523	515860	338	127	194	328.32	3.95	1.57
chr15.fs	517345	517660	316	126	175	325.23	4.33	1.55
chr15.fs	519082	519505	424	226	316	731.46	6.15	0.92
chr15.fs	520658	520875	218	152	119	54.60	2.24	2.30
chr15.fs	525150	525504	355	175	273	602.88	5.19	1.16
chr15.fs	525703	526052	350	220	213	429.51	5.06	1.88
chr15.fs	569511	570555	1045	307	1022	2553.55	6.70	0.00
chr15.fs	570728	571420	693	312	768	1313.19	4.51	0.00
chr15.fs	571764	571983	220	160	155	260.20	4.98	1.56
chr15.fs	572020	572155	136	25	68	74.33	3.35	2.48
chr15.fs	587730	588048	319	253	178	187.56	3.52	2.04
chr15.fs	594243	594498	256	146	154	86.31	2.52	2.36
chr15.fs	608594	609080	487	205	418	1233.60	8.45	0.80
chr15.fs	619060	619675	616	288	535	723.41	4.05	0.90
chr15.fs	619851	621088	1238	1129	742	244.95	2.53	1.96
chr15.fs	663728	663840	113	76	57	97.58	4.56	2.15
chr15.fs	671041	671392	352	162	250	283.61	3.25	1.39
chr15.fs	710084	710224	141	48	78	155.12	4.56	2.01
chr15.fs	710260	710391	132	82	60	58.37	2.83	2.30
chr15.fs	742173	742793	621	300	494	1127.21	6.46	0.72
chr15.fs	770049	770415	367	159	223	321.91	4.91	1.53
chr15.fs	780111	780296	186	135	115	119.71	3.35	2.41
chr15.fs	780433	780966	534	253	369	369.85	3.61	1.69
chr15.fs	782720	782980	261	170	133	132.31	3.17	2.26
chr15.fs	796957	797377	421	168	407	818.26	5.00	0.51
chr15.fs	810353	810585	233	147	124	224.13	4.33	1.84
chr15.fs	840534	840673	140	102	64	62.54	3.02	2.41
chr15.fs	853940	854205	266	148	256	640.25	5.20	1.20
chr15.fs	854231	854301	71	36	77	146.77	4.84	2.09
chr15.fs	854333	854416	84	30	103	444.96	9.64	1.58
chr15.fs	854535	854590	56	25	35	81.18	6.16	2.41
chr15.fs	854596	854955	360	49	272	706.28	6.92	0.87
chr15.fs	855066	855237	172	55	85	78.77	3.11	2.50
chr15.fs	877313	877760	448	149	261	178.89	2.84	1.96
chr15.fs	877794	878063	270	112	157	83.46	2.73	2.43
chr15.fs	882227	882479	253	203	126	75.15	2.69	2.50
chr15.fs	888831	889293	463	230	386	1103.60	7.18	0.70
chr15.fs	904127	904594	468	98	246	179.80	2.99	1.97
chr15.fs	908475	908893	419	210	286	388.06	4.66	1.73
chr15.fs	925177	925361	185	101	101	122.57	3.69	2.46
chr15.fs	943510	943780	271	95	145	95.86	2.89	2.25
chr15.fs	954038	954435	398	144	242	434.02	5.59	1.57
chr15.fs	966729	966916	188	133	87	87.11	3.15	2.36
chr15.fs	967086	967502	417	98	221	126.72	2.64	2.36
chr15.fs	967546	967656	111	65	54	50.76	2.86	2.39
chr15.fs	967978	969567	1590	1066	1506	3100.00	6.41	0.00
chr15.fs	969587	969999	413	49	214	149.05	2.95	2.12
chr15.fs	976259	976446	188	148	105	124.27	3.80	2.48
chr15.fs	976472	976627	156	22	85	94.81	3.81	2.23
chr15.fs	977994	978140	147	98	66	63.71	4.02	2.44
chr15.fs	978457	979488	1032	550	1202	3065.74	5.83	0.00
chr15.fs	980590	980751	162	54	94	91.25	3.57	2.18
chr15.fs	980769	980903	135	78	75	112.44	4.75	2.34
chr15.fs	987460	987904	445	117	260	201.92	3.42	1.94
chr15.fs	989029	989666	638	296	615	966.12	4.56	0.62
chr15.fs	1007995	1008633	639	355	665	2243.62	7.94	0.00
chr15.fs	1049112	1049330	219	140	111	56.02	3.06	2.33
chr16.fs	40386	40684	299	246	165	149.80	3.36	1.97
chr16.fs	40954	41349	396	199	251	394.18	5.46	1.75
chr16.fs	55975	56186	212	180	171	268.95	3.78	1.58
chr16.fs	56250	56479	230	40	207	589.85	7.58	1.14
chr16.fs	66891	67365	475	172	450	1089.09	6.01	0.69
chr16.fs	74920	75559	640	474	556	192.58	2.34	1.89
chr16.fs	95193	95630	438	203	359	609.34	5.57	1.17
chr16.fs	96525	96723	199	78	92	71.42	2.89	2.51
chr16.fs	98781	98926	146	96	68	77.41	3.39	2.47
chr16.fs	109854	110148	295	168	183	326.49	5.36	1.55
chr16.fs	135681	135828	148	47	75	58.43	3.59	2.31
chr16.fs	182605	183661	1057	702	1142	3100.00	7.68	0.00
chr16.fs	210055	210206	152	92	88	124.47	3.92	2.49
chr16.fs	214572	215350	779	468	907	2377.04	5.81	0.00
chr16.fs	255502	257483	1982	1486	1814	3100.00	7.28	0.00
chr16.fs	303396	303605	210	98	109	67.42	2.89	2.42
chr16.fs	333419	333558	140	63	68	107.75	3.42	2.26
chr16.fs	335840	336317	478	198	358	343.19	3.48	1.63
chr16.fs	338896	339003	108	33	52	57.44	3.28	2.27
chr16.fs	340773	341004	232	109	117	52.78	2.57	2.34
chr16.fs	393706	393797	92	60	40	52.81	3.43	2.35
chr16.fs	405545	405642	98	35	50	65.23	3.16	2.47
chr16.fs	405857	406029	173	50	82	58.45	2.64	2.31
chr16.fs	411531	411827	297	218	168	227.65	3.70	1.86
chr16.fs	431847	433851	2005	414	1409	1155.25	3.55	0.74
chr16.fs	435812	435901	90	68	43	69.27	3.96	2.46
chr16.fs	435948	436040	93	35	46	60.07	3.73	2.36
chr16.fs	451716	451907	192	78	92	108.56	3.86	2.28
chr16.fs	463731	464288	558	248	373	530.77	4.32	1.08
chr16.fs	502849	503184	336	66	180	79.28	2.84	2.40
chr16.fs	504414	505004	591	267	558	1667.72	7.62	0.00
chr16.fs	566871	567221	351	168	254	574.34	6.20	1.13
chr16.fs	572315	572492	178	70	111	136.49	3.36	2.30
chr16.fs	613299	613499	201	149	103	173.33	4.33	1.93
chr16.fs	621359	621917	559	252	626	2239.91	7.82	0.00
chr16.fs	641212	641514	303	137	193	109.67	2.52	2.29
chr16.fs	641968	642167	200	146	94	50.20	3.44	2.38
chr16.fs	642346	642679	334	108	211	159.72	3.22	2.05
chr16.fs	645292	645798	507	308	332	384.02	3.61	1.72
chr16.fs	654019	654183	165	50	82	110.70	3.49	2.31
chr16.fs	661078	661255	178	46	85	124.54	3.65	2.49
chr16.fs	678996	679303	308	79	191	185.74	3.62	2.01
chr16.fs	689468	689582	115	88	60	96.20	3.93	2.26
chr16.fs	689625	689776	152	39	91	129.16	3.69	2.23
chr16.fs	700534	700611	78	22	34	52.10	3.65	2.32
chr16.fs	718481	718654	174	57	80	77.12	3.77	2.46
chr16.fs	718999	719263	265	123	137	153.54	4.07	2.00
chr16.fs	731029	731172	144	22	63	77.85	3.30	2.47
chr16.fs	731184	731269	86	31	38	58.26	3.88	2.30
chr16.fs	739589	739735	147	52	65	87.52	4.10	2.38
chr16.fs	739763	739920	158	48	74	109.34	3.65	2.28
chr16.fs	744151	744304	154	114	80	102.82	4.02	2.20
chr16.fs	747564	747815	252	174	146	273.60	4.36	1.60
chr16.fs	754383	754733	351	100	211	310.93	3.64	1.47
chr16.fs	755452	755566	115	55	49	62.71	3.96	2.42
chr16.fs	768954	769219	266	216	251	769.61	6.30	0.97
chr16.fs	769289	769344	56	28	48	139.25	7.88	2.19
chr16.fs	769467	769607	141	30	125	351.25	6.74	1.66
chr16.fs	769632	770329	698	258	579	854.59	4.46	0.54
chr16.fs	770693	771077	385	243	214	295.32	3.71	1.44
chr16.fs	775597	775778	182	143	134	301.28	5.37	1.45
chr16.fs	775811	776154	344	95	359	873.17	5.93	0.55
chr16.fs	781698	782067	370	190	222	407.06	5.07	1.78
chr16.fs	798470	798617	148	84	75	74.80	3.29	2.49
chr16.fs	798629	799199	571	353	539	1742.44	9.01	0.00
chr16.fs	810534	810696	163	125	111	134.33	3.44	2.27
chr16.fs	810726	810863	138	78	69	107.94	3.96	2.26
chr16.fs	812738	813984	1247	236	951	1899.26	7.21	0.00
chr16.fs	817372	817476	105	49	46	58.53	4.03	2.31
chr16.fs	817643	818333	691	508	540	1381.48	7.19	0.00
chr16.fs	819416	819548	133	95	80	178.73	5.01	1.95
chr16.fs	819587	819702	116	67	60	99.66	3.82	2.17
chr16.fs	821700	822411	712	330	641	748.53	4.29	0.93
chr16.fs	855751	855807	57	30	40	65.77	4.81	2.48
chr16.fs	856084	856141	58	30	41	113.99	7.52	2.35
chr16.fs	856525	856579	55	28	45	152.31	7.98	1.99
chr16.fs	856857	856923	67	30	63	153.17	5.82	1.99
chr16.fs	856955	857924	970	57	700	996.21	4.58	0.63
chr16.fs	858324	859105	782	416	519	526.88	4.23	1.07
chr16.fs	860202	860391	190	163	107	95.78	3.67	2.24
chr16.fs	874866	875202	337	195	210	326.91	4.20	1.56
chr16.fs	875662	875987	326	111	203	208.30	3.37	1.98
chr16.fs	880102	880314	213	139	201	640.61	6.90	1.21
chr16.fs	880340	880666	327	130	414	1413.91	7.09	0.00
chr16.fs	880696	881231	536	221	503	1080.66	5.28	0.68
chr16.fs	885870	886206	337	98	175	160.44	3.56	1.89
